Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2016-05-10,1084.0,1076.75,1091.5,1023.5,1026.5,57.5,0.05601558694593278,1.2962630792227192,68.0,1.066438690766976,0.06624452021432051,1038.3,1028.7166666666667,980.7833333333333,1046.4490188141242,59.74864399136916,65.71361896057765,64.32158146294614,68.49769395584065,2.677138639077293,72.80494160941045,18.279999999999973
2016-05-09,1026.5,1027.5,1044.0,1019.0,1034.75,-8.25,-0.007972940323749698,1.2275037369207762,25.0,1.0245338567222768,0.024160425223483932,1027.5,1022.7666666666667,975.1833333333333,1027.6735282211864,35.64187275953682,53.08850073002309,63.62556271413038,32.014376761808506,1.6487504568598745,62.24634912624,6.5
2016-05-06,1034.75,1035.25,1038.5,1008.5,1012.25,22.5,0.02222771054581378,1.2373692077727942,30.0,1.029747149231532,0.029636947394418373,1030.95,1018.5333333333333,971.2666666666667,1028.2602923317797,41.535534679215345,61.0760500641068,68.89409370618402,45.43996277995237,1.9105136939279566,65.64180398510942,7.8599999999999905
2016-05-05,1012.25,1006.5,1047.5,1011.25,1034.0,-21.75,-0.021034816247582206,1.2104633781763816,36.25,1.0358467243510507,0.03505802707930367,1029.95,1013.8333333333334,967.125,1025.0154384976697,41.64795689729023,61.65912014120526,72.80311552722264,39.37112936917049,1.5084474526053868,60.13470407915642,7.159999999999991
2016-05-04,1034.0,1034.0,1045.75,1022.0,1030.0,4.0,0.003883495145631068,1.236472346786247,23.75,1.023238747553816,0.023058252427184466,1033.0,1010.1,963.5583333333333,1031.3981577465045,58.37385201223773,74.11412190792096,78.37511322023134,65.59213928330021,2.360276827507159,70.24054709379834,4.7
2016-05-03,1030.0,1024.25,1057.0,1023.0,1043.75,-13.75,-0.013173652694610778,1.2316890881913294,34.0,1.0332355816226784,0.0325748502994012,1031.9,1005.4666666666667,959.4333333333333,1030.0972366197568,64.19864112127553,77.42559982301219,80.50560887638652,71.26558171626354,2.2638409863071547,69.36125245698807,4.740000000000054
2016-05-02,1043.75,1043.0,1045.0,1020.5,1029.75,14.0,0.013595532896334061,1.2481315396113593,24.5,1.0240078392944636,0.02379218256858461,1031.35,999.2166666666667,955.1666666666666,1030.145854929635,73.16914480436634,85.21967181932395,82.04561340307367,91.56778865182451,3.2705946495817133,76.58405720856823,4.959999999999946
2016-04-29,1029.75,1027.0,1038.25,1018.25,1027.5,2.25,0.0021897810218978104,1.2313901345291471,20.0,1.019641541861036,0.019464720194647202,1024.55,991.5166666666667,950.2916666666666,1023.3437823944529,71.58978216791161,79.87032405551655,80.45858419494853,78.69380377665257,2.8501411668268957,74.02692637308796,5.9200000000000275
2016-04-28,1027.5,1026.0,1046.25,1018.0,1028.5,-1.0,-0.0009722897423432182,1.228699551569506,28.25,1.0277504911591355,0.027467185221195917,1017.85,983.9833333333333,945.8916666666667,1020.1406735916793,75.99779996904027,79.56879969274227,80.75271426466453,77.20097054889774,2.78739492003823,73.59662720385373,11.879999999999995
2016-04-27,1028.5,1024.0,1029.75,1010.75,1027.25,1.25,0.0012168410805548796,1.2298953662182355,19.0,1.0187979223348997,0.01849598442443417,1017.85,975.7833333333333,941.5666666666667,1016.4610103875187,80.20704379362283,79.94641987809645,81.34467155062568,77.14991653303801,2.861494100846755,74.10328816038543,11.879999999999995
2016-04-26,1027.25,1024.0,1028.25,1001.5,1009.75,17.5,0.01733102253032929,1.2284005979073236,26.75,1.0267099350973539,0.026491705867789057,1015.95,967.75,937.025,1010.4415155812782,80.97812214793726,78.46304718409147,82.0437973868903,71.30154677849379,2.83063805777016,73.89468843260784,10.35999999999999
2016-04-25,1009.75,1008.25,1029.75,986.25,996.25,13.5,0.013550815558343789,1.2074738415545583,43.5,1.044106463878327,0.043663739021329986,1009.45,959.5833333333334,932.65,1002.0372733719174,77.75199885067798,76.86123744280385,83.83417248828972,62.91536735183212,2.42950949777443,70.84131125314138,11.159999999999991
2016-04-22,996.25,995.0,1026.0,988.25,1027.5,-31.25,-0.030413625304136254,1.1913303437967107,37.75,1.0381988363268404,0.03673965936739659,1000.1,953.1666666666666,928.85,998.1809100578763,81.92087116127342,81.25429747875977,87.32064001103265,69.12161241421398,2.142170468063202,68.17486478967551,18.520000000000003
2016-04-21,1027.5,1023.5,1043.75,1011.25,1019.0,8.5,0.008341511285574092,1.2286995515695058,32.5,1.0321384425216316,0.03189401373895977,993.7,947.9666666666667,925.2833333333333,999.1463650868145,94.99517698607806,91.83942941141697,90.3538112771691,94.81066567991272,5.602304060729024,84.85377239821366,24.05999999999999
